Nombre Roca,Composición Vidrio/Mineral,Cuarzo,Muscovita,Feldespato,Biotita,Anfibol,Piroxeno,Olivino,Plg Na,Plg Int,Plg Ca,TG,Matriz,Origen,Color,Tipo de magma
Granito,Mineral,1,1,1,1,1,0,0,1,0,0,Fanerítica,Cristales,Plutónico,Leucocrático,Ácido
Riolita,Mineral,1,1,1,1,1,0,0,1,0,0,Afanítica,Cristales,Volcánico,Leucocrático,Ácido
Andesita,Mineral,0,0,0,1,1,1,0,0,1,0,Afanítica,Cristales,Intermedio,Mesocrático,Intermedio
Diorita,Mineral,0,0,0,1,1,1,0,0,1,0,Fanerítica,Cristales,Intermedio,Mesocrático,Intermedio
Basalto,Mineral,0,0,0,0,1,1,1,0,0,1,Afanítica,Cristales,Volcánico,Melanocrático,Básico
Gabro,Mineral,0,0,0,0,1,1,1,0,0,1,Fanerítica,Cristales,Plutónico,Melanocrático,Básico
Komatita,Mineral,0,0,0,0,0,1,1,0,0,1,Fanerítica,Cristales,Plutónico,Holomelanocrático,Básico
Peridotita,Mineral,0,0,0,0,0,0,1,0,0,0,Fanerítica,Cristales,Plutónico,Holomelanocrático,Básico
